Date,Value,Field1,Field2
2010-10-01 00:00,231.0,/,/
2010-10-01 00:15,231.0,/,/
2010-10-01 00:30,226.0,/,/
2010-10-01 00:45,221.0,/,/
2010-10-01 01:00,216.0,/,/
2010-10-01 01:15,205.0,/,/
2010-10-01 01:30,215.0,/,/
2010-10-01 01:45,225.0,/,/
2010-10-01 02:00,230.0,/,/
2010-10-01 02:15,235.0,/,/
2010-10-01 02:30,245.0,/,/
2010-10-01 02:45,256.0,/,/
2010-10-01 03:00,260.0,/,/
2010-10-01 03:15,265.0,/,/
2010-10-01 03:30,260.0,/,/
2010-10-01 03:45,260.0,/,/
2010-10-01 04:00,255.0,/,/
2010-10-01 04:15,255.0,/,/
2010-10-01 04:30,260.0,/,/
2010-10-01 04:45,250.0,/,/
2010-10-01 05:00,250.0,/,/
2010-10-01 05:15,251.0,/,/
2010-10-01 05:30,250.0,/,/
2010-10-01 05:45,250.0,/,/
2010-10-01 06:00,255.0,/,/
2010-10-01 06:15,255.0,/,/
2010-10-01 06:30,290.0,/,/
2010-10-01 06:45,265.0,/,/
2010-10-01 07:00,260.0,/,/
2010-10-01 07:15,261.0,/,/
2010-10-01 07:30,260.0,/,/
2010-10-01 07:45,260.0,/,/
2010-10-01 08:00,295.0,/,/
2010-10-01 08:15,265.0,/,/
2010-10-01 08:30,270.0,/,/
2010-10-01 08:45,280.0,/,/
2010-10-01 09:00,265.0,/,/
2010-10-01 09:15,266.0,/,/
2010-10-01 09:30,266.0,/,/
2010-10-01 09:45,267.0,/,/
2010-10-01 10:00,261.0,/,/
2010-10-01 10:15,257.5,/,/
2010-10-01 10:30,256.0,/,/
2010-10-01 10:45,262.0,/,/
2010-10-01 11:00,261.0,/,/
2010-10-01 11:15,255.0,/,/
2010-10-01 11:30,251.0,/,/
2010-10-01 11:45,251.0,/,/
2010-10-01 12:00,251.0,/,/
2010-10-01 12:15,272.0,/,/
2010-10-01 12:30,256.0,/,/
2010-10-01 12:45,255.0,/,/
2010-10-01 13:00,251.0,/,/
2010-10-01 13:15,241.0,/,/
2010-10-01 13:30,235.0,/,/
2010-10-01 13:45,240.0,/,/
2010-10-01 14:00,257.0,/,/
2010-10-01 14:15,232.0,/,/
2010-10-01 14:30,220.0,/,/
2010-10-01 14:45,220.0,/,/
2010-10-01 15:00,220.0,/,/
2010-10-01 15:15,220.0,/,/
2010-10-01 15:30,211.0,/,/
2010-10-01 15:45,210.0,/,/
2010-10-01 16:00,211.0,/,/
2010-10-01 16:15,202.0,/,/
2010-10-01 16:30,202.0,/,/
2010-10-01 16:45,191.0,/,/
2010-10-01 17:00,265.0,/,/
2010-10-01 17:15,246.0,/,/
2010-10-01 17:30,208.0,/,/
2010-10-01 17:45,197.0,/,/
2010-10-01 18:00,197.0,/,/
2010-10-01 18:15,198.0,/,/
2010-10-01 18:30,196.0,/,/
2010-10-01 18:45,180.0,/,/
2010-10-01 19:00,196.0,/,/
2010-10-01 19:15,204.0,/,/
2010-10-01 19:30,240.0,/,/
2010-10-01 19:45,198.0,/,/
2010-10-01 20:00,240.0,/,/
2010-10-01 20:15,193.0,/,/
2010-10-01 20:30,188.0,/,/
2010-10-01 20:45,212.0,/,/
2010-10-01 21:00,185.0,/,/
2010-10-01 21:15,248.0,/,/
2010-10-01 21:30,190.0,/,/
2010-10-01 21:45,175.0,/,/
2010-10-01 22:00,188.0,/,/
2010-10-01 22:15,247.0,/,/
2010-10-01 22:30,235.0,/,/
2010-10-01 22:45,226.0,/,/
2010-10-01 23:00,202.0,/,/
2010-10-01 23:15,237.0,/,/
2010-10-01 23:30,161.0,/,/
2010-10-01 23:45,236.0,/,/
2010-10-02 00:00,245.0,/,/
2010-10-02 00:15,231.0,/,/
2010-10-02 00:30,230.0,/,/
2010-10-02 00:45,226.0,/,/
2010-10-02 01:00,217.0,/,/
2010-10-02 01:15,211.0,/,/
2010-10-02 01:30,211.0,/,/
2010-10-02 01:45,205.0,/,/
2010-10-02 02:00,220.0,/,/
2010-10-02 02:15,235.0,/,/
2010-10-02 02:30,236.0,/,/
2010-10-02 02:45,245.0,/,/
2010-10-02 03:00,240.0,/,/
2010-10-02 03:15,240.0,/,/
2010-10-02 03:30,235.0,/,/
2010-10-02 03:45,231.0,/,/
2010-10-02 04:00,232.5,/,/
2010-10-02 04:15,230.0,/,/
2010-10-02 04:30,230.0,/,/
2010-10-02 04:45,240.0,/,/
2010-10-02 05:00,246.0,/,/
2010-10-02 05:15,255.0,/,/
2010-10-02 05:30,261.0,/,/
2010-10-02 05:45,260.0,/,/
2010-10-02 06:00,255.0,/,/
2010-10-02 06:15,262.5,/,/
2010-10-02 06:30,255.0,/,/
2010-10-02 06:45,250.0,/,/
2010-10-02 07:00,245.0,/,/
2010-10-02 07:15,255.0,/,/
2010-10-02 07:30,260.0,/,/
2010-10-02 07:45,260.0,/,/
2010-10-02 08:00,265.0,/,/
2010-10-02 08:15,270.0,/,/
2010-10-02 08:30,265.0,/,/
2010-10-02 08:45,260.0,/,/
2010-10-02 09:00,270.0,/,/
2010-10-02 09:15,265.0,/,/
2010-10-02 09:30,271.0,/,/
2010-10-02 09:45,270.0,/,/
2010-10-02 10:00,275.0,/,/
2010-10-02 10:15,281.0,/,/
2010-10-02 10:30,275.0,/,/
2010-10-02 10:45,270.0,/,/
2010-10-02 11:00,265.0,/,/
2010-10-02 11:15,260.0,/,/
2010-10-02 11:30,266.0,/,/
2010-10-02 11:45,260.0,/,/
2010-10-02 12:00,260.0,/,/
2010-10-02 12:15,255.0,/,/
2010-10-02 12:30,251.0,/,/
2010-10-02 12:45,240.0,/,/
2010-10-02 13:00,236.0,/,/
2010-10-02 13:15,237.0,/,/
2010-10-02 13:30,236.0,/,/
2010-10-02 13:45,230.0,/,/
2010-10-02 14:00,230.0,/,/
2010-10-02 14:15,231.0,/,/
2010-10-02 14:30,227.0,/,/
2010-10-02 14:45,211.0,/,/
2010-10-02 15:00,206.0,/,/
2010-10-02 15:15,225.0,/,/
2010-10-02 15:30,211.0,/,/
2010-10-02 15:45,205.0,/,/
2010-10-02 16:00,217.0,/,/
2010-10-02 16:15,215.0,/,/
2010-10-02 16:30,208.0,/,/
2010-10-02 16:45,203.0,/,/
2010-10-02 17:00,205.0,/,/
2010-10-02 17:15,217.0,/,/
2010-10-02 17:30,207.0,/,/
2010-10-02 17:45,260.0,/,/
2010-10-02 18:00,215.0,/,/
2010-10-02 18:15,187.0,/,/
2010-10-02 18:30,197.0,/,/
2010-10-02 18:45,190.0,/,/
2010-10-02 19:00,186.0,/,/
2010-10-02 19:15,163.0,/,/
2010-10-02 19:30,172.0,/,/
2010-10-02 19:45,174.0,/,/
2010-10-02 20:00,182.0,/,/
2010-10-02 20:15,191.0,/,/
2010-10-02 20:30,187.0,/,/
2010-10-02 20:45,191.0,/,/
2010-10-02 21:00,190.0,/,/
2010-10-02 21:15,185.0,/,/
2010-10-02 21:30,195.0,/,/
2010-10-02 21:45,270.0,/,/
2010-10-02 22:00,193.0,/,/
2010-10-02 22:15,208.0,/,/
2010-10-02 22:30,180.0,/,/
2010-10-02 22:45,201.0,/,/
2010-10-02 23:00,242.0,/,/
2010-10-02 23:15,241.0,/,/
2010-10-02 23:30,241.0,/,/
2010-10-02 23:45,242.0,/,/
